cluster_label,cluster_size,class,subclass,cross-species cluster,DNAm_cluster_label,ATAC_cluster_label
Inh PVALB ADAMTS3,490,GABAergic,Pvalb,Pvalb_1,Inh PVALB EYS,Inh PVALB MYO5B
Inh PVALB SST EYS,224,GABAergic,Pvalb,Pvalb_1,Inh PVALB EYS,Inh PVALB MYO5B
Inh PVALB PCDH19,76,GABAergic,Pvalb,Pvalb_1,Inh PVALB EYS,Inh PVALB MYO5B
Inh PVALB KLHL29,104,GABAergic,Pvalb,Pvalb_2,Inh PVALB CDON,Inh PVALB MYO5B
Inh PAX6 ANKRD6,63,GABAergic,Sncg,Sncg_1,Inh GAD1 ZC4H2,Inh GAD1 THSD7B
Inh PAX6 CDH4,61,GABAergic,Sncg,Sncg_1,Inh GAD1 ZC4H2,Inh GAD1 THSD7B
Inh SNCG PLPPR1,113,GABAergic,Sncg,Sncg_2,Inh GAD1 ZC4H2,Inh GAD1 THSD7B
Inh VIP CYP19A1,49,GABAergic,Sncg,Sncg_3,Inh GAD1 ZC4H2,Inh GAD1 THSD7B
Inh SNCG CNTN4,49,GABAergic,Sncg,Sncg_3,Inh GAD1 ZC4H2,Inh GAD1 THSD7B
Inh GAD1 PCP4,295,GABAergic,Sncg,Sncg_4,Inh GAD1 THSD7B,Inh GAD1 THSD7B
Inh GAD1 LOC108589948,332,GABAergic,Sncg,Sncg_4,Inh GAD1 THSD7B,Inh GAD1 THSD7B
Inh SST NPY,19,GABAergic,Sst Chodl,Sst Chodl,Inh SST ABI3BP,Inh SST ABI3BP
Inh SST MPP5,48,GABAergic,Sst,Sst Chodl,Inh SST ABI3BP,Inh SST ABI3BP
Inh SST AIM1,255,GABAergic,Sst,Sst_1,Inh SST AKAP2,Inh SST ABI3BP
Inh SST VAPA,153,GABAergic,Sst,Sst_2,Inh SST AKAP2,Inh SST ABI3BP
Inh SST KIRREL3,185,GABAergic,Sst,Sst_3,Inh SST ABI3BP,Inh SST ABI3BP
Inh SST LOC103788660,323,GABAergic,Sst,Sst_3,Inh SST ABI3BP,Inh SST ABI3BP
Inh SST CBLN4,297,GABAergic,Sst,Sst_3,Inh SST ABI3BP,Inh SST ABI3BP
Inh SST ABI3BP,152,GABAergic,Sst,Sst_3,Inh SST ABI3BP,Inh SST ABI3BP
Inh SST TMEFF2,134,GABAergic,Sst,Sst_3,Inh SST ABI3BP,Inh SST ABI3BP
Inh SST P4HA1,375,GABAergic,Sst,Sst_3,Inh SST ABI3BP,Inh SST ABI3BP
Inh SST PCSK5,541,GABAergic,Sst,Sst_3,Inh SST COL11A1,Inh SST ABI3BP
Inh PVALB SST LRRC6,149,GABAergic,Sst,Sst_3,Inh SST ABI3BP,Inh SST ABI3BP
Inh SST LTBP1,209,GABAergic,Sst,Sst_4,Inh SST COL11A1,Inh SST ABI3BP
Inh SST LOC108589054,113,GABAergic,Sst,Sst_5,Inh SST COL11A1,Inh SST ABI3BP
Inh SST LOC108588801,186,GABAergic,Sst,Sst_6,Inh SST COL11A1,Inh SST ABI3BP
Inh SST LOC103788138,54,GABAergic,Sst,Sst_7,Inh SST COL11A1,Inh SST ABI3BP
Inh VIP LOC108589153,173,GABAergic,Vip,Vip_1,Inh VIP FIGN,Inh VIP LOC103791740
Inh VIP FIGN,551,GABAergic,Vip,Vip_1,Inh VIP FIGN,Inh VIP LOC103791740
Inh VIP LOC100397259,256,GABAergic,Vip,Vip_2,Inh VIP LOC100397259,Inh VIP LOC103791740
Inh GAD1 NPSR1,108,GABAergic,Vip,Vip_2,Inh VIP LOC100397259,Inh VIP LOC103791740
Inh SNCG LOC108587895,260,GABAergic,Vip,Vip_2,Inh VIP FIGN,Inh VIP LOC103791740
Inh VIP CIT,304,GABAergic,Vip,Vip_2,Inh VIP ARHGAP18,Inh VIP LOC103791740
Inh VIP GPR149,218,GABAergic,Vip,Vip_3,Inh VIP DACH2,Inh VIP LOC103791740
Inh VIP LOC108588071,364,GABAergic,Vip,Vip_3,Inh VIP DACH2,Inh VIP LOC103791740
Inh VIP VAT1L,201,GABAergic,Vip,Vip_3,Inh VIP DACH2,Inh VIP LOC103791740
Inh VIP THSD7B,91,GABAergic,Vip,Vip_4,Inh VIP ARHGAP18,Inh GAD1 THSD7B
Inh VIP LOC108588539,102,GABAergic,Vip,Vip_4,Inh VIP ARHGAP18,Inh VIP LOC103791740
VLMC PDGFRA C7,143,Non-neuronal,VLMC,VLMC,Glia OPALIN ST18,Glia SLC1A3 FLT1
VLMC SLC1A3 CEMIP,56,Non-neuronal,VLMC,VLMC,Glia OPALIN ST18,Glia SLC1A3 FLT1
VLMC SLC1A3 SLC13A3,40,Non-neuronal,VLMC,VLMC,Glia OPALIN ST18,Glia SLC1A3 FLT1
