cluster_label,cluster_size,class,subclass,cross-species cluster,DNAm_cluster_label,ATAC_cluster_label
Exc L3-5 FEZF2 LINC01107,88,Glutamatergic,L5 ET,L5 ET_2,Exc L3-5 FEZF2 LOC101929352,Exc L3-5 FEZF2 LOC101929352
Exc L2-3 RORB CCDC68,3331,Glutamatergic,L2/3 IT,L5 IT_1,Exc L2-3 RORB LOC101927281,Exc L2-3 RORB VIPR2
Exc L2-3 RORB PTPN3,1628,Glutamatergic,L2/3 IT,L5 IT_1,Exc L2-3 RORB LOC101927281,Exc L2-3 RORB VIPR2
Exc L3 THEMIS ENPEP,785,Glutamatergic,L5 IT,L5 IT_1,Exc L1-3 LAMP5 LINC00507,Exc L3 LAMP5 MIR3976HG
Exc L3-5 RORB TNNT2,535,Glutamatergic,L5 IT,L5 IT_1,Exc L3-5 RORB COL22A1,Exc L3-5 RORB COL22A1
Exc L3-5 RORB LAMA4,250,Glutamatergic,L5 IT,L5 IT_1,Exc L3-5 RORB COL22A1,Exc L2-3 RORB VIPR2
Exc L5 THEMIS VILL,216,Glutamatergic,L5 IT,L5 IT_1,Exc L5-6 THEMIS SERPINF1,Exc L5-6 THEMIS TMEM18
Exc L3 RORB OTOGL,2134,Glutamatergic,L5 IT,L5 IT_1,Exc L3-5 RORB COL22A1,Exc L3-5 RORB COL22A1
Exc L3-5 RORB LINC01202,640,Glutamatergic,L5 IT,L5 IT_1,Exc L3-5 RORB COL22A1,Exc L3-5 RORB COL22A1
Exc L5 THEMIS SLC22A18,1824,Glutamatergic,L5 IT,L5 IT_2,Exc L3-5 RORB LOC105374972,Exc L3-5 RORB LOC105374972
Exc L3-5 RORB LNX2,4631,Glutamatergic,L5 IT,L5 IT_2,Exc L3-5 RORB LOC105374972,Exc L3-5 RORB LOC105374972
Exc L3-5 RORB RPRM,1231,Glutamatergic,L5 IT,L5 IT_2,Exc L3-5 RORB LOC105374972,Exc L3-5 RORB LOC105374972
Exc L5 RORB MED8,309,Glutamatergic,L5 IT,L5 IT_3,Exc L3-5 RORB COL22A1,Exc L3-5 RORB COL22A1
Exc L5 THEMIS FGF10,147,Glutamatergic,L5 IT,L5 IT_3,Exc L5-6 THEMIS SERPINF1,Exc L5-6 THEMIS TMEM18
Exc L5 FEZF2 PKD2L1,280,Glutamatergic,L5/6 NP,L5/6 NP,Exc L5-6 FEZF2 NPSR1-AS1,Exc L5-6 FEZF2 NPSR1-AS1
Exc L5 FEZF2 NREP-AS1,229,Glutamatergic,L5/6 NP,L5/6 NP,Exc L5-6 FEZF2 NPSR1-AS1,Exc L5-6 FEZF2 NPSR1-AS1
Exc L5 FEZF2 RNF144A-AS1,108,Glutamatergic,L5/6 NP,L5/6 NP,Exc L5-6 FEZF2 NPSR1-AS1,Exc L5-6 FEZF2 NPSR1-AS1
Exc L5-6 FEZF2 IFNG-AS1,753,Glutamatergic,L5/6 NP,L5/6 NP,Exc L5-6 FEZF2 NPSR1-AS1,Exc L5-6 FEZF2 NPSR1-AS1
Exc L5-6 FEZF2 LPO,117,Glutamatergic,L5/6 NP,L5/6 NP,Exc L5-6 FEZF2 NPSR1-AS1,Exc L5-6 FEZF2 NPSR1-AS1
Exc L5-6 FEZF2 OR1L8,263,Glutamatergic,L6 CT,L6 CT_1,Exc L5-6 FEZF2 LOC105371833,Exc L5-6 FEZF2 LOC105376596
Exc L5 THEMIS LINC01116,151,Glutamatergic,L6 CT,L6 CT_1,Exc L5-6 FEZF2 LOC105371833,Exc L5-6 FEZF2 LOC105376596
Exc L5 THEMIS RGPD6,241,Glutamatergic,L6 CT,L6 CT_1,Exc L5-6 FEZF2 LOC105371833,Exc L5-6 FEZF2 LOC105376596
Exc L5-6 FEZF2 FILIP1L,318,Glutamatergic,L6 CT,L6 CT_1,Exc L5-6 FEZF2 LOC105371833,Exc L5-6 FEZF2 LOC105376596
Exc L5-6 FEZF2 SH2D1B,159,Glutamatergic,L6 CT,L6 CT_1,Exc L5-6 FEZF2 LOC105371833,Exc L5-6 FEZF2 LOC105376596
Exc L5-6 FEZF2 C9orf135-AS1,2602,Glutamatergic,L6 CT,L6 CT_2,Exc L5-6 FEZF2 LOC105371833,Exc L5-6 FEZF2 C9orf135-AS1
Exc L6 THEMIS LINC00343,905,Glutamatergic,L6 IT,L6 IT_1,Exc L5-6 THEMIS SERPINF1,Exc L6 THEMIS LINC00343
Exc L6 THEMIS SLN,436,Glutamatergic,L6 IT,L6 IT_1,Exc L5-6 THEMIS SERPINF1,Exc L6 THEMIS LINC00343
Exc L5-6 THEMIS TNFAIP6,1132,Glutamatergic,L5 IT,L6 IT_2,Exc L5-6 THEMIS SERPINF1,Exc L5-6 THEMIS TMEM18
Exc L6 THEMIS SNTG2,488,Glutamatergic,L6 IT,L6 IT_2,Exc L5-6 THEMIS SERPINF1,Exc L6 THEMIS LINC00343
Exc L5-6 THEMIS SMYD1,327,Glutamatergic,L6 IT Car3,L6 IT_3,Exc L5-6 THEMIS SMYD1,Exc L5-6 THEMIS SMYD1
Exc L6 FEZF2 PDYN,22,Glutamatergic,L6b,L6b,Exc L6 FEZF2 NPFFR2,Exc L6 FEZF2 NPFFR2
Exc L6 FEZF2 FFAR4,106,Glutamatergic,L6b,L6b,Exc L6 FEZF2 NPFFR2,Exc L6 FEZF2 NPFFR2
Exc L6 FEZF2 PROKR2,72,Glutamatergic,L6b,L6b,Exc L6 FEZF2 NPFFR2,Exc L6 FEZF2 NPFFR2
Exc L5-6 FEZF2 CFTR,108,Glutamatergic,L6b,L6b,Exc L6 FEZF2 NPFFR2,Exc L6 FEZF2 NPFFR2
Exc L6 FEZF2 KLK7,1801,Glutamatergic,L6b,L6b,Exc L6 FEZF2 NPFFR2,Exc L6 FEZF2 NPFFR2
Exc L6 FEZF2 POGK,127,Glutamatergic,L6b,L6b,Exc L6 FEZF2 NPFFR2,Exc L6 FEZF2 NPFFR2
Inh L1 LAMP5 PVRL2,94,GABAergic,Lamp5,Lamp5_1,Inh L1 LAMP5 LOC101927870,Inh L1-6 LAMP5 KIRREL
Inh L1 LAMP5 RAB11FIP1,246,GABAergic,Lamp5,Lamp5_2,Inh L1-6 LAMP5 CPLX3,Inh L1-6 LAMP5 KIRREL
Inh L1-6 LAMP5 AARD,1539,GABAergic,Lamp5,Lamp5_2,Inh L1-6 LAMP5 CPLX3,Inh L1-6 LAMP5 KIRREL
Inh L1-6 LAMP5 NES,419,GABAergic,Lamp5,Lamp5_2,Inh L1-6 LAMP5 CPLX3,Inh L1-6 LAMP5 KIRREL
Inh L1-6 LAMP5 CA1,465,GABAergic,Lamp5,Lamp5_3,Inh L1-6 LAMP5 SFRP1,Inh L1-6 LAMP5 KIRREL
Inh L5-6 LAMP5 CRABP1,923,GABAergic,Lamp5,Lamp5_3,Inh L1-6 LAMP5 SFRP1,Inh L1-6 LAMP5 KIRREL
Inh L3-6 PAX6 LINC01497,84,GABAergic,Lamp5,Lamp5_4,Inh L1 GAD1 SP8,Inh L1 GAD1 SP8
Inh L1 PAX6 MIR101-1,139,GABAergic,Lamp5,Lamp5_4,Inh L1 GAD1 SP8,Inh L1 GAD1 SP8
Inh L1 LAMP5 BMP2,352,GABAergic,Lamp5,Lamp5_5,Inh L1 LAMP5 LOC101927870,Inh L1 LAMP5 NDNF
Inh L1 LAMP5 NMBR,193,GABAergic,Lamp5,Lamp5_5,Inh L1 LAMP5 LOC101927870,Inh L1 LAMP5 NDNF
Micro L1-6 TYROBP CD74,108,Non-neuronal,Micro-PVM,Microglia/PVM,Micro L1-6 TYROBP CD74,Micro L1-6 TYROBP CD74
Oligo L2-6 OPALIN MAP6D1,101,Non-neuronal,Oligo,NA,Oligo-OPC L1-6 OPALIN PLP1,Oligo L2-6 OPALIN LOC101927459
Oligo L3-6 OPALIN ENPP6,535,Non-neuronal,Oligo,Oligo_1,Oligo-OPC L1-6 OPALIN PLP1,Oligo L3-6 SLC1A3 LOC100506725
Oligo L2-6 OPALIN FTH1P3,2300,Non-neuronal,Oligo,Oligo_2,Oligo-OPC L1-6 OPALIN PLP1,Oligo L2-6 OPALIN LOC101927459
Oligo L5-6 OPALIN LDLRAP1,6,Non-neuronal,Oligo,Oligo_2,Oligo-OPC L1-6 OPALIN PLP1,Oligo L3-6 SLC1A3 LOC100506725
OPC L1-6 PDGFRA COL20A1,283,Non-neuronal,OPC,OPC,Oligo-OPC L1-6 OPALIN PLP1,OPC L1-6 PDGFRA COL20A1
Inh L5-6 PVALB KCNIP2,108,GABAergic,Pvalb,Pvalb_1,Inh L2-6 PVALB SIAH3,Inh L5-6 PVALB GULP1
Inh L5-6 PVALB ZFPM2-AS1,563,GABAergic,Pvalb,Pvalb_1,Inh L2-6 PVALB SIAH3,Inh L5-6 PVALB LINC01057
Inh L3-5 PVALB ISG20,254,GABAergic,Pvalb,Pvalb_1,Inh L2-6 PVALB SIAH3,Inh L3-5 PVALB ISG20
Inh L5 PVALB LRIG3,631,GABAergic,Pvalb,Pvalb_1,Inh L5-6 PVALB WNT16,Inh L5-6 PVALB LINC01057
Inh L2-5 PVALB HHIPL1,456,GABAergic,Pvalb,Pvalb_1,Inh L2-6 PVALB SIAH3,Inh L2-5 PVALB LOC105376919
Inh L2-5 PVALB RPH3AL,3253,GABAergic,Pvalb,Pvalb_1,Inh L2-6 PVALB SIAH3,Inh L2-5 PVALB LOC105376919
Inh L3 PVALB SAMD13,1326,GABAergic,Pvalb,Pvalb_1,Inh L2-6 PVALB SIAH3,Inh L2-5 PVALB LOC105376919
Inh L1-2 PVALB CDK20,123,GABAergic,Pvalb,Pvalb_1,Inh L2-6 PVALB SIAH3,Inh L2-5 PVALB LOC105376919
Inh L2 PVALB FRZB,107,GABAergic,Pvalb,Pvalb_1,Inh L2-6 PVALB SIAH3,Inh L2-5 PVALB LOC105376919
Inh L1-2 SST CLIC6,194,GABAergic,Pvalb,Pvalb_1,Inh L1-5 SST AHR,Inh L1-3 SST LOC392232
Inh L5-6 PVALB GAPDHP60,138,GABAergic,Pvalb,Pvalb_2,Inh L5-6 PVALB WNT16,Inh L5-6 PVALB GULP1
Inh L5-6 PVALB FAM150B,111,GABAergic,Pvalb,Pvalb_2,Inh L5-6 PVALB WNT16,Inh L5-6 PVALB GULP1
Inh L5-6 PVALB MEPE,230,GABAergic,Pvalb,Pvalb_2,Inh L5-6 PVALB WNT16,Inh L5-6 PVALB GULP1
Inh L1 PAX6 CHRFAM7A,185,GABAergic,Sncg,Sncg_1,Inh L1 GAD1 SP8,Inh L1 GAD1 SP8
Inh L1-6 VIP SLC7A6OS,61,GABAergic,Sncg,Sncg_1,Inh L1 GAD1 SP8,Inh L1 GAD1 SP8
Inh L2 PAX6 FREM2,108,GABAergic,Sncg,Sncg_2,Inh L1 GAD1 SP8,Inh L1 GAD1 SP8
Inh L1-2 VIP HTR3A,42,GABAergic,Sncg,Sncg_3,Inh L1 GAD1 SP8,Inh L1 GAD1 SP8
Inh L1-2 VIP WNT4,52,GABAergic,Sncg,Sncg_3,Inh L1 GAD1 SP8,Inh L1 GAD1 SP8
Inh L1 PVALB SST ASIC4,186,GABAergic,Sncg,Sncg_4,Inh L1 GAD1 NDST4,Inh L1 GAD1 NDST4
Inh L1 SST P4HA3,38,GABAergic,Sncg,Sncg_4,Inh L1 GAD1 NDST4,Inh L1 GAD1 NDST4
Inh L1 SST DEFB108B,223,GABAergic,Sncg,Sncg_4,Inh L1 GAD1 NDST4,Inh L1 GAD1 NDST4
Inh L1-6 SST NPY,67,GABAergic,Sst Chodl,Sst Chodl,Inh L1-5 SST AHR,Inh L1-6 SST NPY
Inh L3-5 SST CDH3,81,GABAergic,Sst,Sst_1,Inh L5-6 SST DCN,Inh L3-5 SST EDNRA
Inh L5 SST RPL35AP11,764,GABAergic,Sst,Sst_1,Inh L5-6 SST DCN,Inh L3-5 SST EDNRA
Inh L5-6 SST ISX,394,GABAergic,Sst,Sst_2,Inh L5-6 SST DCN,Inh L5-6 SST LOC101929667
Inh L5-6 PVALB SST CRHR2,218,GABAergic,Sst,Sst_2,Inh L5-6 SST DCN,Inh L3-5 SST EDNRA
Inh L3-5 SST OR5AH1P,242,GABAergic,Sst,Sst_2,Inh L5-6 SST DCN,Inh L3-5 SST EDNRA
Inh L3-5 SST GGTLC3,1154,GABAergic,Sst,Sst_3,Inh L1-5 SST AHR,Inh L3-5 SST EDNRA
Inh L2-3 SST NMU,419,GABAergic,Sst,Sst_3,Inh L1-5 SST AHR,Inh L1-3 SST LOC392232
Inh L1-2 SST CCNJL,320,GABAergic,Sst,Sst_3,Inh L1-5 SST AHR,Inh L1-3 SST LOC105379168
Inh L1-3 SST FAM20A,1069,GABAergic,Sst,Sst_3,Inh L1-5 SST AHR,Inh L1-3 SST LOC105379168
Inh L1-2 SST PRRT4,376,GABAergic,Sst,Sst_3,Inh L1-5 SST AHR,Inh L1-3 SST LOC105379168
Inh L5-6 SST PAWR,194,GABAergic,Sst,Sst_4,Inh L5-6 SST KIAA1644,Inh L5-6 SST LOC101929667
Inh L5-6 SST PIK3CD,129,GABAergic,Sst,Sst_4,Inh L5-6 SST KIAA1644,Inh L3-5 SST EDNRA
Inh L5-6 SST BEAN1,76,GABAergic,Sst,Sst_5,Inh L5-6 SST KIAA1644,Inh L5-6 SST EBPL
Inh L5-6 SST DNAJC14,35,GABAergic,Sst,Sst_5,Inh L5-6 SST KIAA1644,Inh L5-6 SST EBPL
Inh L5-6 SST C4orf26,93,GABAergic,Sst,Sst_6,Inh L5-6 SST KIAA1644,Inh L5-6 SST LOC101929667
Inh L5-6 SST FBN2,100,GABAergic,Sst,Sst_6,Inh L5-6 SST KIAA1644,Inh L5-6 SST LOC101929667
Inh L5-6 SST KLHL1,188,GABAergic,Sst,Sst_6,Inh L5-6 SST KIAA1644,Inh L5-6 SST LOC101929667
Inh L6 SST TH,84,GABAergic,Sst,Sst_7,Inh L5-6 SST KIAA1644,Inh L5-6 SST EBPL
Inh L1-3 VIP CBLN1,464,GABAergic,Vip,Vip_1,Inh L1-3 VIP CCDC184,Inh L1-5 VIP KCNJ2
Inh L1-2 VIP EXPH5,509,GABAergic,Vip,Vip_1,Inh L1-3 VIP CCDC184,Inh L1-5 VIP KCNJ2
Inh L1-3 VIP HSPB6,396,GABAergic,Vip,Vip_1,Inh L1-3 VIP CCDC184,Inh L1-6 VIP IQGAP2
Inh L1-2 VIP PTGER3,84,GABAergic,Vip,Vip_2,Inh L1-3 VIP NPR3,Inh L1-3 VIP NPR3
Inh L1-2 VIP SCML4,128,GABAergic,Vip,Vip_2,Inh L1-3 VIP NPR3,Inh L1-3 VIP NPR3
Inh L1-3 VIP FNDC1,111,GABAergic,Vip,Vip_2,Inh L1-3 VIP NPR3,Inh L1-3 VIP NPR3
Inh L1-3 VIP CHRNA2,310,GABAergic,Vip,Vip_2,Inh L1-3 VIP NPR3,Inh L1-3 VIP NPR3
Inh L2 VIP SLC6A16,288,GABAergic,Vip,Vip_2,Inh L1-3 VIP NPR3,Inh L1-3 VIP NPR3
Inh L1 VIP KLHDC8B,95,GABAergic,Vip,Vip_2,Inh L1-5 VIP NOX4,Inh L1-6 VIP IQGAP2
Inh L3-5 VIP IGDCC3,390,GABAergic,Vip,Vip_2,Inh L1-5 VIP NOX4,Inh L1-6 VIP IQGAP2
Inh L3-5 VIP TAC3,367,GABAergic,Vip,Vip_2,Inh L3-5 VIP LOC101929231,Inh L1-5 VIP KCNJ2
Inh L1-5 VIP SMOC1,638,GABAergic,Vip,Vip_3,Inh L1-6 VIP ABI3BP,Inh L1-6 VIP IQGAP2
Inh L3-5 VIP HS3ST3A1,225,GABAergic,Vip,Vip_3,Inh L1-6 VIP ABI3BP,Inh L1-6 VIP IQGAP2
Inh L5-6 VIP COL4A3,89,GABAergic,Vip,Vip_3,Inh L1-6 VIP ABI3BP,Inh L1-6 VIP IQGAP2
Inh L1-5 VIP CD27-AS1,67,GABAergic,Vip,Vip_3,Inh L1-6 VIP ABI3BP,Inh L1-6 VIP IQGAP2
Inh L2-5 VIP BSPRY,85,GABAergic,Vip,Vip_3,Inh L1-6 VIP ABI3BP,Inh L1-6 VIP IQGAP2
Inh L2-5 VIP SOX11,116,GABAergic,Vip,Vip_4,Inh L2-6 VIP PENK,Inh L1-6 VIP IQGAP2
Inh L3-6 VIP ZIM2-AS1,146,GABAergic,Vip,Vip_4,Inh L2-6 VIP PENK,Inh L1-6 VIP IQGAP2
Inh L1-5 VIP PHLDB3,92,GABAergic,Vip,Vip_4,Inh L3-5 VIP LOC101929231,Inh L1-6 VIP IQGAP2
Inh L1-5 VIP LINC01013,127,GABAergic,Vip,Vip_4,Inh L3-5 VIP LOC101929231,Inh L1-6 VIP IQGAP2
Inh L3-6 VIP UG0898H09,131,GABAergic,Vip,Vip_4,Inh L3-5 VIP LOC101929231,Inh L1-6 VIP IQGAP2
VLMC L1-5 PDGFRA COLEC12,40,Non-neuronal,VLMC,VLMC,Glia L1-5 NOSTRIN MECOM,Glia L1-5 NOSTRIN MECOM
