clusterName,gene,NSForestMarker
Inh L1-6 LAMP5 AARD,ADAMTS20,n
Inh L1-6 LAMP5 AARD,FREM1,y
Inh L1-6 LAMP5 AARD,MYH11,n
Inh L1-6 LAMP5 AARD,FBXL7,y
Inh L1-6 LAMP5 AARD,KIT,y
Inh L1-6 LAMP5 AARD,PRELID2,y
Inh L1-6 LAMP5 AARD,EPHA3,n
Inh L1-6 LAMP5 AARD,EYA4,n
Inh L1-6 LAMP5 AARD,NTNG1,n
Inh L1-6 LAMP5 AARD,ROR2,n
Inh L1-6 LAMP5 AARD,HS3ST4,n
Inh L1-6 LAMP5 AARD,NOS1,n
Inh L1-6 LAMP5 AARD,LOC105379168,n
Inh L1-6 LAMP5 AARD,PDGFD,n
Inh L1-6 LAMP5 AARD,PALMD,n
Inh L1-6 LAMP5 AARD,TGFBR2,n
Inh L1-6 LAMP5 AARD,COL5A2,n
Inh L1-6 LAMP5 AARD,PCDH18,n
Inh L1-6 LAMP5 NES,CBLN4,n
Inh L1-6 LAMP5 NES,HS3ST5,n
Inh L1-6 LAMP5 NES,RELN,n
Inh L1-6 LAMP5 NES,TRPC3,n
Inh L1-6 LAMP5 NES,ADAMTS20,n
Inh L1-6 LAMP5 NES,FREM1,n
Inh L1-6 LAMP5 NES,MYH11,n
Inh L1-6 LAMP5 NES,FBXL7,n
Inh L1-6 LAMP5 NES,KIT,y
Inh L1-6 LAMP5 NES,PRELID2,n
Inh L1-6 LAMP5 NES,EPHA3,y
Inh L1-6 LAMP5 NES,EYA4,y
Inh L1-6 LAMP5 NES,NTNG1,y
Inh L1-6 LAMP5 NES,ROR2,n
Inh L1-6 LAMP5 NES,HS3ST4,n
Inh L1-6 LAMP5 NES,NOS1,n
Inh L1-6 LAMP5 NES,LOC105379168,n
Inh L1-6 LAMP5 NES,PDGFD,n
Inh L1-6 LAMP5 NES,PALMD,n
Inh L1-6 LAMP5 NES,TGFBR2,n
Inh L1-6 LAMP5 NES,COL5A2,n
Inh L1-6 LAMP5 NES,PCDH18,n
Inh L1-6 LAMP5 CA1,CBLN4,n
Inh L1-6 LAMP5 CA1,HS3ST5,n
Inh L1-6 LAMP5 CA1,RELN,n
Inh L1-6 LAMP5 CA1,TRPC3,n
Inh L1-6 LAMP5 CA1,ADAMTS20,n
Inh L1-6 LAMP5 CA1,FREM1,n
Inh L1-6 LAMP5 CA1,MYH11,n
Inh L1-6 LAMP5 CA1,FBXL7,n
Inh L1-6 LAMP5 CA1,KIT,n
Inh L1-6 LAMP5 CA1,PRELID2,n
Inh L1-6 LAMP5 CA1,EPHA3,n
Inh L1-6 LAMP5 CA1,EYA4,n
Inh L1-6 LAMP5 CA1,NTNG1,n
Inh L1-6 LAMP5 CA1,ROR2,n
Inh L1-6 LAMP5 CA1,HS3ST4,y
Inh L1-6 LAMP5 CA1,NOS1,y
Inh L1-6 LAMP5 CA1,LOC105379168,n
Inh L1-6 LAMP5 CA1,PDGFD,n
Inh L1-6 LAMP5 CA1,PALMD,n
Inh L1-6 LAMP5 CA1,TGFBR2,n
Inh L1-6 LAMP5 CA1,COL5A2,n
Inh L1-6 LAMP5 CA1,PCDH18,n
Inh L5-6 LAMP5 CRABP1,CBLN4,n
Inh L5-6 LAMP5 CRABP1,HS3ST5,n
Inh L5-6 LAMP5 CRABP1,RELN,n
Inh L5-6 LAMP5 CRABP1,TRPC3,n
Inh L5-6 LAMP5 CRABP1,ADAMTS20,n
Inh L5-6 LAMP5 CRABP1,FREM1,n
Inh L5-6 LAMP5 CRABP1,MYH11,n
Inh L5-6 LAMP5 CRABP1,FBXL7,n
Inh L5-6 LAMP5 CRABP1,KIT,n
Inh L5-6 LAMP5 CRABP1,PRELID2,n
Inh L5-6 LAMP5 CRABP1,EPHA3,n
Inh L5-6 LAMP5 CRABP1,EYA4,n
Inh L5-6 LAMP5 CRABP1,NTNG1,n
Inh L5-6 LAMP5 CRABP1,ROR2,n
Inh L5-6 LAMP5 CRABP1,HS3ST4,n
Inh L5-6 LAMP5 CRABP1,NOS1,n
Inh L5-6 LAMP5 CRABP1,LOC105379168,y
Inh L5-6 LAMP5 CRABP1,PDGFD,y
Inh L5-6 LAMP5 CRABP1,PALMD,n
Inh L5-6 LAMP5 CRABP1,TGFBR2,n
Inh L5-6 LAMP5 CRABP1,COL5A2,n
Inh L5-6 LAMP5 CRABP1,PCDH18,n
Inh L3-6 PAX6 LINC01497,CBLN4,n
Inh L3-6 PAX6 LINC01497,HS3ST5,n
Inh L3-6 PAX6 LINC01497,RELN,y
Inh L3-6 PAX6 LINC01497,TRPC3,n
Inh L3-6 PAX6 LINC01497,ADAMTS20,n
Inh L3-6 PAX6 LINC01497,FREM1,n
Inh L3-6 PAX6 LINC01497,MYH11,n
Inh L3-6 PAX6 LINC01497,FBXL7,n
Inh L3-6 PAX6 LINC01497,KIT,n
Inh L3-6 PAX6 LINC01497,PRELID2,n
Inh L3-6 PAX6 LINC01497,EPHA3,n
Inh L3-6 PAX6 LINC01497,EYA4,n
Inh L3-6 PAX6 LINC01497,NTNG1,n
Inh L3-6 PAX6 LINC01497,ROR2,n
Inh L3-6 PAX6 LINC01497,HS3ST4,n
Inh L3-6 PAX6 LINC01497,NOS1,n
Inh L3-6 PAX6 LINC01497,LOC105379168,n
Inh L3-6 PAX6 LINC01497,PDGFD,n
Inh L3-6 PAX6 LINC01497,PALMD,y
Inh L3-6 PAX6 LINC01497,TGFBR2,n
Inh L3-6 PAX6 LINC01497,COL5A2,n
Inh L3-6 PAX6 LINC01497,PCDH18,n
Inh L1 PAX6 MIR101-1,CBLN4,n
Inh L1 PAX6 MIR101-1,HS3ST5,n
Inh L1 PAX6 MIR101-1,RELN,y
Inh L1 PAX6 MIR101-1,TRPC3,n
Inh L1 PAX6 MIR101-1,ADAMTS20,n
Inh L1 PAX6 MIR101-1,FREM1,n
Inh L1 PAX6 MIR101-1,MYH11,n
Inh L1 PAX6 MIR101-1,FBXL7,n
Inh L1 PAX6 MIR101-1,KIT,n
Inh L1 PAX6 MIR101-1,PRELID2,n
Inh L1 PAX6 MIR101-1,EPHA3,n
Inh L1 PAX6 MIR101-1,EYA4,n
Inh L1 PAX6 MIR101-1,NTNG1,n
Inh L1 PAX6 MIR101-1,ROR2,n
Inh L1 PAX6 MIR101-1,HS3ST4,n
Inh L1 PAX6 MIR101-1,NOS1,n
Inh L1 PAX6 MIR101-1,LOC105379168,n
Inh L1 PAX6 MIR101-1,PDGFD,n
Inh L1 PAX6 MIR101-1,PALMD,n
Inh L1 PAX6 MIR101-1,TGFBR2,y
Inh L1 PAX6 MIR101-1,COL5A2,n
Inh L1 PAX6 MIR101-1,PCDH18,n
Inh L1 PAX6 CHRFAM7A,CHRNA7,y
Inh L1 PAX6 CHRFAM7A,CNR1,y
Inh L1 PAX6 CHRFAM7A,LINC01539,y
Inh L1 PAX6 CHRFAM7A,PBX3,n
Inh L1 PAX6 CHRFAM7A,CILP2,n
Inh L1 PAX6 CHRFAM7A,IGFBP7,n
Inh L1 PAX6 CHRFAM7A,HTR3A,n
Inh L1 PAX6 CHRFAM7A,LOC105373642,n
Inh L1 PAX6 CHRFAM7A,LOC105379064,n
Inh L1 PAX6 CHRFAM7A,SYT9,n
Inh L1 PAX6 CHRFAM7A,ADAM33,n
Inh L1 PAX6 CHRFAM7A,NCKAP5,n
Inh L1 PAX6 CHRFAM7A,PRELID2,n
Inh L1 PAX6 CHRFAM7A,ARHGAP42,n
Inh L1 PAX6 CHRFAM7A,FOXO1,n
Inh L1 PAX6 CHRFAM7A,ST8SIA6,n
Inh L1 PAX6 CHRFAM7A,NDST4,n
Inh L1 PAX6 CHRFAM7A,SYT10,n
Inh L1-6 VIP SLC7A6OS,CHRNA7,n
Inh L1-6 VIP SLC7A6OS,CNR1,y
Inh L1-6 VIP SLC7A6OS,LINC01539,n
Inh L1-6 VIP SLC7A6OS,PBX3,y
Inh L1-6 VIP SLC7A6OS,CILP2,n
Inh L1-6 VIP SLC7A6OS,IGFBP7,n
Inh L1-6 VIP SLC7A6OS,HTR3A,n
Inh L1-6 VIP SLC7A6OS,LOC105373642,n
Inh L1-6 VIP SLC7A6OS,LOC105379064,n
Inh L1-6 VIP SLC7A6OS,SYT9,n
Inh L1-6 VIP SLC7A6OS,ADAM33,n
Inh L1-6 VIP SLC7A6OS,NCKAP5,n
Inh L1-6 VIP SLC7A6OS,PRELID2,n
Inh L1-6 VIP SLC7A6OS,ARHGAP42,n
Inh L1-6 VIP SLC7A6OS,FOXO1,n
Inh L1-6 VIP SLC7A6OS,ST8SIA6,n
Inh L1-6 VIP SLC7A6OS,NDST4,n
Inh L1-6 VIP SLC7A6OS,SYT10,n
Inh L2 PAX6 FREM2,CHRNA7,n
Inh L2 PAX6 FREM2,CNR1,n
Inh L2 PAX6 FREM2,LINC01539,n
Inh L2 PAX6 FREM2,PBX3,n
Inh L2 PAX6 FREM2,CILP2,y
Inh L2 PAX6 FREM2,IGFBP7,y
Inh L2 PAX6 FREM2,HTR3A,n
Inh L2 PAX6 FREM2,LOC105373642,n
Inh L2 PAX6 FREM2,LOC105379064,n
Inh L2 PAX6 FREM2,SYT9,n
Inh L2 PAX6 FREM2,ADAM33,n
Inh L2 PAX6 FREM2,NCKAP5,n
Inh L2 PAX6 FREM2,PRELID2,n
Inh L2 PAX6 FREM2,ARHGAP42,n
Inh L2 PAX6 FREM2,FOXO1,n
Inh L2 PAX6 FREM2,ST8SIA6,n
Inh L2 PAX6 FREM2,NDST4,n
Inh L2 PAX6 FREM2,SYT10,n
Inh L1-2 VIP HTR3A,CHRNA7,n
Inh L1-2 VIP HTR3A,CNR1,n
Inh L1-2 VIP HTR3A,LINC01539,n
Inh L1-2 VIP HTR3A,PBX3,n
Inh L1-2 VIP HTR3A,CILP2,n
Inh L1-2 VIP HTR3A,IGFBP7,n
Inh L1-2 VIP HTR3A,HTR3A,y
Inh L1-2 VIP HTR3A,LOC105373642,y
Inh L1-2 VIP HTR3A,LOC105379064,n
Inh L1-2 VIP HTR3A,SYT9,n
Inh L1-2 VIP HTR3A,ADAM33,n
Inh L1-2 VIP HTR3A,NCKAP5,n
Inh L1-2 VIP HTR3A,PRELID2,n
Inh L1-2 VIP HTR3A,ARHGAP42,n
Inh L1-2 VIP HTR3A,FOXO1,n
Inh L1-2 VIP HTR3A,ST8SIA6,n
Inh L1-2 VIP HTR3A,NDST4,n
Inh L1-2 VIP HTR3A,SYT10,n
Inh L1-2 VIP WNT4,CHRNA7,n
Inh L1-2 VIP WNT4,CNR1,n
Inh L1-2 VIP WNT4,LINC01539,n
Inh L1-2 VIP WNT4,PBX3,n
Inh L1-2 VIP WNT4,CILP2,n
Inh L1-2 VIP WNT4,IGFBP7,n
Inh L1-2 VIP WNT4,HTR3A,n
Inh L1-2 VIP WNT4,LOC105373642,n
Inh L1-2 VIP WNT4,LOC105379064,y
Inh L1-2 VIP WNT4,SYT9,y
Inh L1-2 VIP WNT4,ADAM33,n
Inh L1-2 VIP WNT4,NCKAP5,n
Inh L1-2 VIP WNT4,PRELID2,n
Inh L1-2 VIP WNT4,ARHGAP42,n
Inh L1-2 VIP WNT4,FOXO1,n
Inh L1-2 VIP WNT4,ST8SIA6,n
Inh L1-2 VIP WNT4,NDST4,n
Inh L1-2 VIP WNT4,SYT10,n
Inh L1 LAMP5 BMP2,CBLN4,n
Inh L1 LAMP5 BMP2,HS3ST5,n
Inh L1 LAMP5 BMP2,RELN,n
Inh L1 LAMP5 BMP2,TRPC3,n
Inh L1 LAMP5 BMP2,ADAMTS20,n
Inh L1 LAMP5 BMP2,FREM1,y
Inh L1 LAMP5 BMP2,MYH11,n
Inh L1 LAMP5 BMP2,FBXL7,n
Inh L1 LAMP5 BMP2,KIT,n
Inh L1 LAMP5 BMP2,PRELID2,n
Inh L1 LAMP5 BMP2,EPHA3,n
Inh L1 LAMP5 BMP2,EYA4,n
Inh L1 LAMP5 BMP2,NTNG1,n
Inh L1 LAMP5 BMP2,ROR2,n
Inh L1 LAMP5 BMP2,HS3ST4,n
Inh L1 LAMP5 BMP2,NOS1,n
Inh L1 LAMP5 BMP2,LOC105379168,n
Inh L1 LAMP5 BMP2,PDGFD,n
Inh L1 LAMP5 BMP2,PALMD,n
Inh L1 LAMP5 BMP2,TGFBR2,n
Inh L1 LAMP5 BMP2,COL5A2,y
Inh L1 LAMP5 BMP2,PCDH18,n
Inh L1 LAMP5 NMBR,CBLN4,n
Inh L1 LAMP5 NMBR,HS3ST5,n
Inh L1 LAMP5 NMBR,RELN,y
Inh L1 LAMP5 NMBR,TRPC3,n
Inh L1 LAMP5 NMBR,ADAMTS20,n
Inh L1 LAMP5 NMBR,FREM1,n
Inh L1 LAMP5 NMBR,MYH11,n
Inh L1 LAMP5 NMBR,FBXL7,n
Inh L1 LAMP5 NMBR,KIT,n
Inh L1 LAMP5 NMBR,PRELID2,n
Inh L1 LAMP5 NMBR,EPHA3,n
Inh L1 LAMP5 NMBR,EYA4,n
Inh L1 LAMP5 NMBR,NTNG1,n
Inh L1 LAMP5 NMBR,ROR2,n
Inh L1 LAMP5 NMBR,HS3ST4,n
Inh L1 LAMP5 NMBR,NOS1,n
Inh L1 LAMP5 NMBR,LOC105379168,n
Inh L1 LAMP5 NMBR,PDGFD,n
Inh L1 LAMP5 NMBR,PALMD,n
Inh L1 LAMP5 NMBR,TGFBR2,n
Inh L1 LAMP5 NMBR,COL5A2,n
Inh L1 LAMP5 NMBR,PCDH18,y
Inh L1 PVALB SST ASIC4,CHRNA7,n
Inh L1 PVALB SST ASIC4,CNR1,n
Inh L1 PVALB SST ASIC4,LINC01539,n
Inh L1 PVALB SST ASIC4,PBX3,n
Inh L1 PVALB SST ASIC4,CILP2,n
Inh L1 PVALB SST ASIC4,IGFBP7,n
Inh L1 PVALB SST ASIC4,HTR3A,n
Inh L1 PVALB SST ASIC4,LOC105373642,n
Inh L1 PVALB SST ASIC4,LOC105379064,n
Inh L1 PVALB SST ASIC4,SYT9,n
Inh L1 PVALB SST ASIC4,ADAM33,y
Inh L1 PVALB SST ASIC4,NCKAP5,y
Inh L1 PVALB SST ASIC4,PRELID2,y
Inh L1 PVALB SST ASIC4,ARHGAP42,n
Inh L1 PVALB SST ASIC4,FOXO1,n
Inh L1 PVALB SST ASIC4,ST8SIA6,n
Inh L1 PVALB SST ASIC4,NDST4,n
Inh L1 PVALB SST ASIC4,SYT10,n
Inh L1 SST P4HA3,CHRNA7,n
Inh L1 SST P4HA3,CNR1,n
Inh L1 SST P4HA3,LINC01539,n
Inh L1 SST P4HA3,PBX3,n
Inh L1 SST P4HA3,CILP2,n
Inh L1 SST P4HA3,IGFBP7,n
Inh L1 SST P4HA3,HTR3A,n
Inh L1 SST P4HA3,LOC105373642,n
Inh L1 SST P4HA3,LOC105379064,n
Inh L1 SST P4HA3,SYT9,n
Inh L1 SST P4HA3,ADAM33,n
Inh L1 SST P4HA3,NCKAP5,n
Inh L1 SST P4HA3,PRELID2,n
Inh L1 SST P4HA3,ARHGAP42,y
Inh L1 SST P4HA3,FOXO1,y
Inh L1 SST P4HA3,ST8SIA6,y
Inh L1 SST P4HA3,NDST4,n
Inh L1 SST P4HA3,SYT10,n
Inh L1 SST DEFB108B,CHRNA7,n
Inh L1 SST DEFB108B,CNR1,n
Inh L1 SST DEFB108B,LINC01539,n
Inh L1 SST DEFB108B,PBX3,n
Inh L1 SST DEFB108B,CILP2,n
Inh L1 SST DEFB108B,IGFBP7,n
Inh L1 SST DEFB108B,HTR3A,n
Inh L1 SST DEFB108B,LOC105373642,n
Inh L1 SST DEFB108B,LOC105379064,n
Inh L1 SST DEFB108B,SYT9,n
Inh L1 SST DEFB108B,ADAM33,n
Inh L1 SST DEFB108B,NCKAP5,n
Inh L1 SST DEFB108B,PRELID2,n
Inh L1 SST DEFB108B,ARHGAP42,n
Inh L1 SST DEFB108B,FOXO1,n
Inh L1 SST DEFB108B,ST8SIA6,n
Inh L1 SST DEFB108B,NDST4,y
Inh L1 SST DEFB108B,SYT10,y
Inh L1-3 VIP CBLN1,HTR2C,y
Inh L1-3 VIP CBLN1,LOC284825,y
Inh L1-3 VIP CBLN1,TAC3,y
Inh L1-3 VIP CBLN1,SCTR,n
Inh L1-3 VIP CBLN1,ST18,n
Inh L1-3 VIP CBLN1,CCNG2,n
Inh L1-3 VIP CBLN1,IGFBP5,n
Inh L1-3 VIP CBLN1,KCNH8,n
Inh L1-3 VIP CBLN1,PARD3B,n
Inh L1-3 VIP CBLN1,SYT10,n
Inh L1-3 VIP CBLN1,ABI3BP,n
Inh L1-3 VIP CBLN1,LOC100506497,n
Inh L1-3 VIP CBLN1,LOC101927286,n
Inh L1-3 VIP CBLN1,LOC101928842,n
Inh L1-3 VIP CBLN1,EYA4,n
Inh L1-3 VIP CBLN1,LOC105373642,n
Inh L1-3 VIP CBLN1,PPP1R1C,n
Inh L1-3 VIP CBLN1,KCNT2,n
Inh L1-3 VIP CBLN1,LOC105370456,n
Inh L1-3 VIP CBLN1,ITGBL1,n
Inh L1-3 VIP CBLN1,SLITRK4,n
Inh L1-3 VIP CBLN1,EREG,n
Inh L1-3 VIP CBLN1,NOX4,n
Inh L1-3 VIP CBLN1,ANGPT1,n
Inh L1-3 VIP CBLN1,SMOC1,n
Inh L1-3 VIP CBLN1,VIP,n
Inh L1-3 VIP CBLN1,IQGAP2,n
Inh L1-3 VIP CBLN1,SLC22A3,n
Inh L1-3 VIP CBLN1,KCTD12,n
Inh L1-3 VIP CBLN1,ANKFN1,n
Inh L1-3 VIP CBLN1,EGFEM1P,n
Inh L1-3 VIP CBLN1,LOC101927078,n
Inh L1-3 VIP CBLN1,PDE3A,n
Inh L1-3 VIP CBLN1,ADAMTSL1,n
Inh L1-3 VIP CBLN1,THSD7B,n
Inh L1-3 VIP CBLN1,CXCL14,n
Inh L1-3 VIP CBLN1,PENK,n
